Number,Request date,Delivery date,Status,Customer,Price,Product,Amount,Description,"Unit price 
 Unitario",Total price,Final Price,Sample,MP,Print,Maquila,Others,Total costs,Unit Profit,Total Profit,Comission,Payment made,Missing payment,Payment,Payment method,Bill
2,8-Nov,17-Nov,Delivered,Jonesy,C8_001,Graphic,1,Sub. 225x225cm,"$5,200.00 ","$5,200.00 ","$6,032.00 ",$0.00 ,"$11,972.41 ",$0.00 ,$0.00 ,$0.00 ,"$11,972.41 ","($6,772.41)","($6,772.41)","($3,386.21)","$6,032.00 ",$0.00 ,Paid,Transfer,50% Advance Payment
1,3-Nov,10-Nov,Delivered,Robertson,C1_010,Bag,10,Blanket,$87.00 ,$870.00 ,"$1,009.20 ",$0.00 ,$0.00 ,$21.60 ,$18.00 ,$0.00 ,$39.60 ,$47.40 ,$474.00 ,$237.00 ,$0.00 ,"$1,009.20 ",Paid,Transfer,Sent
,,,,,,,,,,,,,,,,,,TOTAL,"$37,228.29 ","$18,614.14 ",,,,,
OCTOBER,,,,,,,,,,,,,,,,,,,,,,,,,
2,30-Oct,1-Nov,Delivered,Waters,C6_005A,Impression,100,Eli,$3.38 ,$338.00 ,$392.08 ,$0.00 ,$0.00 ,$2.90 ,$0.00 ,$0.00 ,$2.90 ,$0.48 ,$48.00 ,$24.00 ,$392.08 ,$0.00 ,Paid,Transfer,
1,2-Oct,13-Oct,Delivered,Robertson,C2_006D,Hat,1,Oscaps,$500.00 ,$500.00 ,$580.00 ,$0.00 ,$86.35 ,$0.00 ,$0.00 ,$0.00 ,$86.35 ,$413.65 ,$413.65 ,$206.83 ,$580.00 ,$0.00 ,Paid,Transfer,Sent
1,2-Oct,13-Oct,Delivered,Robertson,C2_006D,Bag,1,Maria Fabric,$500.00 ,$500.00 ,$580.00 ,$0.00 ,$301.72 ,$0.00 ,$0.00 ,$180.00 ,$481.72 ,$18.28 ,$18.28 ,$9.14 ,$580.00 ,$0.00 ,Paid,Transfer,Sent
1,2-Oct,13-Oct,Delivered,Robertson,C2_006D,Sweatshirt,1,Alex,$500.00 ,$500.00 ,$580.00 ,$0.00 ,$0.00 ,"$2,000.01 ",$0.00 ,$0.00 ,"$2,000.01 ","($1,500.01)","($1,500.01)",($750.00),$580.00 ,$0.00 ,Paid,Transfer,Sent
,,,,,,,,,,,,,,,,,,TOTAL,"($1,020.08)",($510.04),,,,,
3,3-Oct,4-Oct,Delivered,Waters,C6_002F,Impression Glossy,10,Eli,$95.00 ,$950.00 ,"$1,102.00 ",$0.00 ,$0.00 ,$95.00 ,$0.00 ,$0.00 ,$95.00 ,$0.00 ,$0.00 ,$0.00 ,"$1,102.00 ",$0.00 ,Paid,Transfer,Sent
3,3-Oct,4-Oct,Delivered,Waters,C6_002F,Marco,10,Alma,$330.00 ,"$3,300.00 ","$3,828.00 ",$0.00 ,$300.00 ,$0.00 ,$0.00 ,$0.00 ,$300.00 ,$30.00 ,$300.00 ,$150.00 ,"$3,828.00 ",$0.00 ,Paid,Transfer,Sent
2,3-Oct,12-Oct,Delivered,Others,C1_005C,Tshirt,3,Gildan,$253.00 ,$759.00 ,$880.44 ,$0.00 ,$50.63 ,,$0.00 ,$0.00 ,$50.63 ,$202.37 ,$607.10 ,$303.55 ,$880.44 ,$0.00 ,Paid,Cash,N/A
1,3-Oct,12-Oct,Delivered,Powers,C7_001E,Sweatshirts,20,Gildan,$314.00 ,"$6,280.00 ","$7,284.80 ",$0.00 ,$162.07 ,,$0.00 ,$0.00 ,$162.07 ,$151.93 ,"$3,038.62 ","$1,519.31 ","$6,773.60 ",$511.20 ,50% Advance Payment,Transfer,Sent
1,3-Oct,12-Oct,Delivered,Powers,C7_001E,Hats,20,Caps,$62.00 ,"$1,240.00 ","$1,438.40 ",$0.00 ,$20.00 ,,$0.00 ,$0.00 ,$20.00 ,$42.00 ,$840.00 ,$420.00 ,$0.00 ,"$1,438.40 ",50% Advance Payment,Transfer,Sent
,,,,,,,,,,,,,,,,,,TOTAL,"$2,745.56 ","$2,392.86 ",,,,,
SEPTEMBER,,,,,,,,,,,,,,,,,,,,,,,,,
3,27-Sep,2-Oct,Delivered,Waters,C2_006B,Forms,1,Eli,$586.00 ,$586.00 ,$679.76 ,$0.00 ,$410.00 ,$0.00 ,$0.00 ,$0.00 ,$410.00 ,$176.00 ,$176.00 ,$88.00 ,$679.76 ,$0.00 ,Paid,Transfer,Sent
3,27-Sep,2-Oct,Delivered,Waters,C2_006B,Impression,10,Eli,$123.00 ,"$1,230.00 ","$1,426.80 ",$0.00 ,$85.00 ,$0.00 ,$0.00 ,$0.00 ,$85.00 ,$38.00 ,$380.00 ,$190.00 ,"$1,426.80 ",$0.00 ,Paid,Transfer,Sent
3,27-Sep,2-Oct,Delivered,Waters,C2_006B,Easel,10,Nelly,$142.00 ,"$1,420.00 ","$1,647.20 ",$0.00 ,$85.00 ,$0.00 ,$0.00 ,$0.00 ,$85.00 ,$57.00 ,$570.00 ,$285.00 ,"$1,647.20 ",$0.00 ,Paid,Transfer,Sent
2,26-Sep,2-Oct,Delivered,Waters,C6_001E,Tshirt,100,Gildan,$73.00 ,"$7,300.00 ","$8,468.00 ",$0.90 ,$43.13 ,$10.00 ,$0.00 ,$0.87 ,$54.90 ,$18.10 ,"$1,810.02 ",$905.01 ,"$8,468.00 ",$0.00 ,Paid,Transfer,Sent
2,26-Sep,2-Oct,Delivered,Waters,C6_001E,Bag,100,Blanket Palermo,$74.00 ,"$7,400.00 ","$8,584.00 ",$0.00 ,$23.76 ,$10.00 ,$13.00 ,$0.00 ,$46.76 ,$27.24 ,"$2,724.00 ","$1,362.00 ","$8,584.00 ",$0.00 ,Paid,Transfer,Sent
2,26-Sep,2-Oct,Delivered,Waters,C6_001E,Hat,100,Oscaps,$52.00 ,"$5,200.00 ","$6,032.00 ",$0.30 ,$20.00 ,$12.12 ,$0.00 ,$0.00 ,$32.42 ,$19.58 ,"$1,958.00 ",$979.00 ,"$6,032.00 ",$0.00 ,Paid,Transfer,Sent
1,5-Sep,20-Sep,Delivered,Robertson,C2_004B,Bag,1,Gioelli,$500.00 ,$500.00 ,$580.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$500.00 ,$500.00 ,$250.00 ,$580.00 ,$0.00 ,Paid,Transfer,Sent
1,5-Sep,20-Sep,Delivered,Robertson,C2_004B,Sweatshirt,1,Cardigans,$500.00 ,$500.00 ,$580.00 ,$0.00 ,$219.05 ,$100.00 ,$0.00 ,$0.00 ,$319.05 ,$180.95 ,$180.95 ,$90.47 ,$580.00 ,$0.00 ,Paid,Transfer,Sent
1,5-Sep,20-Sep,Delivered,Robertson,C2_004B,Shade,1,Jack,"$1,250.00 ","$1,250.00 ","$1,450.00 ",$0.00 ,$806.03 ,$0.00 ,$0.00 ,$0.00 ,$806.03 ,$443.97 ,$443.97 ,$221.99 ,"$1,450.00 ",$0.00 ,Paid,Transfer,Sent
